"","prediction","d.CMS1","d.CMS2","d.CMS3","d.CMS4","p.value","FDR"
"GSM972056","CMS1",0.558948100615207,0.773177061273798,0.699994877734549,0.732408083273645,0.001,0.00128054298642534
"GSM972057",NA,0.768915081108652,0.654164809650153,0.774648792900031,0.749875949194761,0.49050949050949,0.516998829847992
"GSM972058","CMS1",0.528184352810825,0.822771989361447,0.699176672415147,0.60926444226316,0.001,0.00128054298642534
"GSM972059","CMS4",0.572663476090756,0.770738608006848,0.758621035666428,0.532348995567552,0.001,0.00128054298642534
"GSM972060","CMS4",0.76963621806282,0.667971911540289,0.793171223582685,0.638399941705991,0.00599400599400599,0.00706793206793207
"GSM972061",NA,0.740199696195214,0.660868476110547,0.726158694615981,0.671947354752711,0.602397602397602,0.627913522941147
"GSM972062","CMS3",0.70242527579955,0.636090426838812,0.61973601035324,0.645475657657935,0.001,0.00128054298642534
"GSM972063","CMS4",0.728065486936029,0.644160978795463,0.699266677474299,0.486986319719045,0.001,0.00128054298642534
"GSM972064","CMS4",0.674361937719922,0.721778580054964,0.731779293694036,0.438178100780211,0.001,0.00128054298642534
"GSM972065","CMS4",0.735614023419216,0.633006991379655,0.723477005459409,0.570167720487045,0.001,0.00128054298642534
"GSM972066","CMS2",0.792718967880503,0.61589530860566,0.805055949036343,0.681029507641503,0.001,0.00128054298642534
"GSM972067","CMS4",0.671792506865285,0.687153082313544,0.722011249975221,0.427615629579068,0.001,0.00128054298642534
"GSM972068","CMS4",0.662743955588249,0.717900519041902,0.740373883615879,0.347962797793702,0.001,0.00128054298642534
"GSM972069","CMS4",0.786116797868039,0.647501364291217,0.775543801345198,0.609880544870697,0.001,0.00128054298642534
"GSM972070","CMS3",0.725340186962432,0.667453582571928,0.552671753817739,0.715249330506262,0.001,0.00128054298642534
"GSM972071","CMS2",0.745886419478681,0.589538612842503,0.759375233308279,0.601957772611932,0.001,0.00128054298642534
"GSM972072","CMS1",0.548055851201667,0.817777284144236,0.741475544979875,0.619396111256858,0.001,0.00128054298642534
"GSM972073","CMS4",0.634383083844623,0.732220659089801,0.704711789246045,0.418579862174447,0.001,0.00128054298642534
"GSM972074","CMS2",0.792308074872367,0.569056338961678,0.7470124460546,0.705944529094613,0.001,0.00128054298642534
"GSM972075",NA,0.685701357558757,0.730419261785071,0.686906916906761,0.779769094964193,0.704295704295704,0.730094081742434
"GSM972076","CMS4",0.596941206248001,0.816988749323341,0.619130310787344,0.583273134833302,0.001,0.00128054298642534
"GSM972077","CMS4",0.649168508578919,0.692910047123152,0.662605256051958,0.47269659666644,0.001,0.00128054298642534
"GSM972078","CMS4",0.724100784908629,0.644405888224493,0.709508006010561,0.430863268495281,0.001,0.00128054298642534
"GSM972079","CMS4",0.568594115331363,0.735619079504783,0.649199528716537,0.48334817404389,0.001,0.00128054298642534
"GSM972080","CMS1",0.567393097153997,0.826691503436697,0.642808808056768,0.637460490696313,0.001,0.00128054298642534
"GSM972081","CMS2",0.731592902409313,0.593841178688214,0.657127447642115,0.653619226423316,0.001,0.00128054298642534
"GSM972082","CMS4",0.653445781610046,0.792333526301483,0.6418138328108,0.446583020805219,0.001,0.00128054298642534
"GSM972083","CMS4",0.656354424471276,0.719221020377217,0.743838747200148,0.618106555169089,0.001,0.00128054298642534
"GSM972084","CMS4",0.704825511363981,0.735833516146534,0.639528250512453,0.53893390149103,0.001,0.00128054298642534
"GSM972085","CMS4",0.760105959539334,0.639724942650169,0.746579718378105,0.565263016935345,0.001,0.00128054298642534
"GSM972086",NA,0.748022017479894,0.688645909114674,0.750443744523554,0.736142711668973,0.519480519480519,0.544492544492544
"GSM972087","CMS2",0.773731024815971,0.614707689787084,0.744073094149523,0.854327748349772,0.001,0.00128054298642534
"GSM972088","CMS4",0.71102266680974,0.736825953187628,0.630258585450867,0.515001776896908,0.001,0.00128054298642534
"GSM972089","CMS4",0.676631364735388,0.767858549932562,0.724421887826553,0.435010407662969,0.001,0.00128054298642534
"GSM972090","CMS2",0.794294504071908,0.643467604138612,0.681359256250561,0.895557354346032,0.001,0.00128054298642534
"GSM972091","CMS3",0.719539400692382,0.662572497804977,0.634391650326088,0.892468102074192,0.002997002997003,0.00364796493828752
"GSM972092","CMS4",0.699766130930417,0.729402859117184,0.762121014682507,0.463274478165381,0.001,0.00128054298642534
"GSM972093","CMS4",0.799330969986431,0.613056875913641,0.760728934496054,0.475270275668859,0.001,0.00128054298642534
"GSM972094","CMS4",0.727557260659159,0.693949363904922,0.761314076067431,0.518809696720864,0.001,0.00128054298642534
"GSM972095","CMS4",0.697745566550473,0.673591990994704,0.783141458277995,0.51688263051189,0.001,0.00128054298642534
"GSM972096","CMS2",0.768472202189068,0.6554816261753,0.68473492735103,0.860955459688967,0.001998001998002,0.00245307837498727
"GSM972097","CMS4",0.671276472909903,0.753966801635688,0.723316656530516,0.402133580572125,0.001,0.00128054298642534
"GSM972098","CMS3",0.724766459125362,0.769782528757375,0.614592559617802,0.858476791304509,0.001,0.00128054298642534
"GSM972099","CMS2",0.854709613107964,0.614482742566164,0.754278690681134,0.8215766448081,0.001,0.00128054298642534
"GSM972100","CMS1",0.627249059705976,0.744704623513651,0.645149976271279,0.80485147836109,0.001,0.00128054298642534
"GSM972101","CMS3",0.689745786422717,0.724273922144853,0.621157890799793,0.717854441566164,0.001,0.00128054298642534
"GSM972102","CMS4",0.706541883799909,0.727926979474839,0.656388937688745,0.571868539427445,0.001,0.00128054298642534
"GSM972103","CMS4",0.63025539734197,0.721667017604481,0.694474231327503,0.574030050494891,0.001,0.00128054298642534
"GSM972104","CMS4",0.696664603267877,0.701261826353943,0.692028070427054,0.331413731784206,0.001,0.00128054298642534
"GSM972105","CMS4",0.752089721212343,0.66564053396697,0.770417225850061,0.596202590130358,0.001,0.00128054298642534
"GSM972106","CMS4",0.70411930370041,0.680200402082562,0.713392386182273,0.629283568289289,0.001,0.00128054298642534
"GSM972107",NA,0.645466033236753,0.692265690955997,0.71066588601175,0.64691404801837,0.23976023976024,0.254604682372037
"GSM972108","CMS2",0.788577957030821,0.599138968591839,0.749612991917887,0.751129495527073,0.001,0.00128054298642534
"GSM972109","CMS1",0.663530939485894,0.705496278827636,0.689948331790507,0.797259227146498,0.018981018981019,0.0220600754481658
"GSM972110","CMS1",0.621632745591755,0.719260586640842,0.637536638525189,0.825471601607427,0.001,0.00128054298642534
"GSM972111","CMS3",0.69733899278983,0.688162666367065,0.592235744213612,0.702917502663831,0.001,0.00128054298642534
"GSM972112","CMS4",0.630105455495693,0.778597105212312,0.674485966970945,0.455149013486747,0.001,0.00128054298642534
"GSM972113","CMS4",0.701060116757713,0.746410768746519,0.75191732055131,0.370476798052612,0.001,0.00128054298642534
"GSM972114","CMS3",0.638761814842128,0.730619505501241,0.594696675077507,0.742685859691995,0.001,0.00128054298642534
"GSM972115","CMS3",0.749388580963168,0.624067109497392,0.61854292324725,0.718002062838501,0.001,0.00128054298642534
"GSM972116","CMS4",0.718754766122425,0.706196984176481,0.645475622927419,0.593230523897609,0.001,0.00128054298642534
"GSM972117","CMS1",0.56614689273238,0.762811804870594,0.626578838949173,0.730116941201998,0.001,0.00128054298642534
"GSM972118","CMS1",0.652209908026362,0.719491992759828,0.673928044797262,0.813927332731258,0.003996003996004,0.00483277406354329
"GSM972119","CMS2",0.84377260075245,0.571044689702452,0.777523277910988,0.678711236560669,0.001,0.00128054298642534
"GSM972120","CMS4",0.657213316304835,0.737310196130471,0.789642326850148,0.620084161985711,0.001,0.00128054298642534
"GSM972121","CMS3",0.745932937765371,0.757209081914688,0.595012880206406,0.807242395081538,0.001,0.00128054298642534
"GSM972122","CMS2",0.815680513382924,0.674418146795951,0.745442982733398,0.858056539536764,0.01998001998002,0.0231735477637117
"GSM972123","CMS2",0.753458476940047,0.603746714121276,0.741842663559885,0.80818046904887,0.001,0.00128054298642534
"GSM972124","CMS2",0.720093843609621,0.616054364799841,0.631890945407657,0.645658423854629,0.001,0.00128054298642534
"GSM972125","CMS4",0.697101986727592,0.694427775932568,0.677183735759253,0.408733138619762,0.001,0.00128054298642534
"GSM972126","CMS2",0.768525189584247,0.620052240624979,0.783547705262855,0.826211987341697,0.001,0.00128054298642534
